x,y,distance
7.633333333333333,-3.2666666666666675,0.0
7.571555223958331,-3.290701651041668,0.06628927661078626
7.194582444444441,-3.4301375555555578,0.46822992942891506
6.327601192708328,-3.7286319322916697,1.38518228664131
4.9243493333333275,-4.16669066666667,2.8552861077760556
3.0400661892361063,-4.678293185763892,4.8079365445478635
0.804442333333325,-5.1675176666666705,7.096780526022399
-1.6054306197916741,-5.52516624479167,9.533705937010991
-3.992110222222232,-5.645390222222224,11.924772666103097
-6.164853401041672,-5.44231527604167,14.109788832017777
-7.966666666666654,-4.866666666666678,16.006734769112164
-9.195794932291657,-3.8169130572916763,17.710484095776803
-9.92668088888888,-2.4519608888888973,19.345448857676683
-10.206147713541657,-0.8843520885416756,21.023894717811984
-10.12913566666666,0.7449043333333267,22.7384004924199
-9.818885633680551,2.2869737413194366,24.387171749529752
-9.407122666666659,3.6058373333333282,25.830983012537335
-9.014239526041658,4.598933598958332,26.942708136561375
-8.729480222222218,5.217799777777777,27.64765814692956
-8.591123557291668,5.48871331770833,27.95884039065487
-8.56666666666667,5.533333333333335,28.009724348490444
